Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,53,6954,5301,3157,493,1291,8,362,1634,44,354
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code,53,6954,5301,3157,493,1291,8,362,1634,44,354
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\BehaviorTrees,2,382,288,135,25,69,4,25,81,1,8
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\Components,19,1974,1504,865,135,380,0,90,331,10,80
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\Components\Weapons,6,493,381,220,24,89,0,23,126,0,0
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\DRS,2,63,45,23,5,13,0,5,20,2,16
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\External,5,175,126,74,9,38,0,11,105,0,0
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\External\ObserverManager,5,175,126,74,9,38,0,11,105,0,0
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\FlowNodes,6,1270,1088,604,119,164,1,18,201,6,48
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\Framework,11,1324,956,679,72,293,0,75,358,18,153
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\Framework\Events,2,101,72,39,8,12,0,17,65,2,16
C:\Users\quant\Documents\DeerSolarGames\LighthouseCRY\LighthouseCRY\Code\Pawns,4,1615,1195,741,119,302,3,118,410,4,32
